plan_id,plan_name,metal,premium,medical_deductable_person,medical_deductable_family,drug_deductable_person,drug_deductable_family,combined_deductable_person,combined_deductable_family,max_out_of_pocket_person,max_out_of_pocket_family,has_out_of_network,is_hsa,primary_care_visit_to_treat_an_injury_or_illness,specialist_visit,preventive_care_screening_immunization,outpatient_rehabilitation_services,prosthetic_devices,chiropractic_care,inpatient_rehabilitation_services,durable_medical_equipment,outpatient_surgery_physician_surgical_services,home_health_care_services,outpatient_facility_fee,preferred_brand_drugs,non_preferred_brand_drugs,specialty_drugs,generic_drugs,prenatal_and_postnatal_care,well_baby_visits_and_care,gym_membership_reimbursement,major_dental_care_child,orthodontia_child,basic_dental_care_child,dental_check_up_for_children,mental_behavioral_health_inpatient_services,mental_behavioral_health_outpatient_services,substance_abuse_disorder_inpatient_services,substance_abuse_disorder_outpatient_services,routine_eye_exam_for_children,contact_lenses_for_children,eye_glasses_for_children,skilled_nursing_facility,delivery_and_all_inpatient_services_for_maternity_care,inpatient_hospital_services,inpatient_physician_and_surgical_services,transplant,autism_spectrum_disorders,chemotherapy,family_planning_services,urgent_care_centers_or_facilities,emergency_transportation_ambulance,emergency_room_services,x_rays_and_diagnostic_imaging,imaging,laboratory_outpatient_and_professional_services,acupuncture,telemedicine
30672,"Select Care Gold , Gold, ST, INN, Dep25",Gold,1565.73,600,1200,0,,,,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,"$30 Copay after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible","20% Coinsurance after deductible","$100 Copay after deductible","$25 Copay after deductible","$100 Copay after deductible",$35,$70,,$10,$0,$0,$0,,,,,"$1000 Copay after deductible","$25 Copay after deductible","$1000 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible",$0,"$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible",,
30675,"Select Care Silver, Silver, ST, INN, Dep25",Silver,1290.39,2000,4000,0,,,,5500,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,"$30 Copay after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible","30% Coinsurance after deductible","$100 Copay after deductible","$30 Copay after deductible","$100 Copay after deductible",$35,$70,,$10,$0,$0,$0,,,,,"$1500 Copay after deductible","$30 Copay after deductible","$1500 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible",$0,"$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible",,
30681,"Select Care Bronze, Bronze, ST, INN, Dep25",Bronze,1105.43,,,,,3500,7000,6850,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible",$0,$0,$0,,,,,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31438,"UnitedHealthcare Compass Platinum ST INN Pediatric Dental Dep 25",Platinum,2204.96,,,,,0,0,2000,4000,No,No,$15,$35,$0,$25,10%,$35,$500,10%,$100,$15,$100,$30,$60,,$10,$0,$0,$0,$15,$15,$15,$15,"$500 Copay per Stay",$15,"$500 Copay per Stay",$15,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$600,$15,$15,$0,$55,$100,$100,$35,$35,$35,,
31444,"UnitedHealthcare Compass Gold ST INN Pediatric Dental Dep 25",Gold,1868.43,600,1200,0,0,,,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,"$30 Copay after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible","20% Coinsurance after deductible","$100 Copay after deductible","$25 Copay after deductible","$100 Copay after deductible",$35,$70,,$10,$0,$0,$0,"$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible",$0,"$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible",,
31450,"UnitedHealthcare Compass Silver ST INN Pediatric Dental Dep 25",Silver,1582.87,2000,4000,0,0,,,5500,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,"$30 Copay after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible","30% Coinsurance after deductible","$100 Copay after deductible","$30 Copay after deductible","$100 Copay after deductible",$35,$70,,$10,$0,$0,$0,"$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$1500 Copay per Stay after deductible","$30 Copay after deductible","$1500 Copay per Stay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible",$0,"$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible",,
31462,"UnitedHealthcare Compass Bronze ST INN Pediatric Dental Dep 25",Bronze,1289.80,,,,,3500,7000,6850,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$35,$70,,$10,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31485,"Fidelis Care Bronze ST INN Pediatric Dental Dep25",Bronze,924.68,,,,,3500,7000,6850,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible",$0,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31488,"Fidelis Care Silver ST INN Pediatric Dental Dep25",Silver,1162.91,2000,4000,,,,,5500,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,"$30 Copay after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible","30% Coinsurance after deductible","$100 Copay after deductible","$30 Copay after deductible","$100 Copay after deductible",$35,$70,,$10,$0,$0,,"$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$1500 Copay per Stay after deductible","$30 Copay after deductible","$1500 Copay per Stay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible",$0,"$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible",,
31494,"Fidelis Care Gold ST INN Pediatric Dental Dep25",Gold,1424.52,600,1200,,,,,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,"$30 Copay after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible","20% Coinsurance after deductible","$100 Copay after deductible","$25 Copay after deductible","$100 Copay after deductible",$35,$70,,$10,$0,$0,,"$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible",$0,"$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible",,
31497,"Fidelis Care Platinum ST INN Pediatric Dental Dep25",Platinum,1731.15,0,0,,,,,2000,4000,No,No,$15,$35,$0,$25,10%,$35,$500,10%,$100,$15,$100,$30,$60,,$10,$0,$0,,$15,$15,$15,$15,"$500 Copay per Stay",$15,"$500 Copay per Stay",$15,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$600,$15,$15,$0,$55,$100,$100,$35,$35,$35,,
31809,"AffinityAccess Platinum ST INN Pediatric Dental Dep25",Platinum,1567.01,,0,,0,,,,4000,No,No,$15,$35,$0,$25,10%,$35,$500,10%,$100,$15,$100,$30,$60,,$10,$0,$0,$0,$15,$15,$15,$15,$500,$15,$500,$15,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$600,$15,$15,$0,$55,$100,$100,$35,$35,$35,,
31812,"AffinityAccess Gold ST INN Pediatric Dental Dep25",Gold,1339.84,,1200,,0,,,,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,"$30 Copay after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible","20% Coinsurance after deductible","$100 Copay after deductible","$25 Copay after deductible","$100 Copay after deductible","$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible",$0,$0,$0,"$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$1000 Copay after deductible","$25 Copay after deductible","$1000 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible",$0,"$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible",,
31815,"AffinityAccess Silver ST INN Pediatric Dental Dep25",Silver,1126.51,,4000,,0,,,,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,"$30 Copay after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible","30% Coinsurance after deductible","$100 Copay after deductible","$30 Copay after deductible","$100 Copay after deductible","$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible",$0,$0,$0,"$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$1500 Copay after deductible","$30 Copay after deductible","$1500 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible",$0,"$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible",,
31821,"AffinityAccess Bronze ST INN Pediatric Dental Dep25",Bronze,946.84,,,,,,7000,,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible",$0,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31855,"AffinityAccess Platinum ST INN Dep25",Platinum,1564.88,,0,,0,,,,4000,No,No,$15,$35,$0,$25,10%,$35,$500,10%,$100,$15,$100,$30,$60,,$10,$0,$0,$0,,,,,$500,$15,$500,$15,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$600,$15,$15,$0,$55,$100,$100,$35,$35,$35,,
31858,"AffinityAccess Gold ST INN Dep25",Gold,1337.90,,1200,,0,,,,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,"$30 Copay after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible","20% Coinsurance after deductible","$100 Copay after deductible","$25 Copay after deductible","$100 Copay after deductible","$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible",$0,$0,$0,,,,,"$1000 Copay after deductible","$25 Copay after deductible","$1000 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible",$0,"$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible",,
31861,"AffinityAccess Silver ST INN Dep25",Silver,1124.98,,4000,,0,,,,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,"$30 Copay after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible","30% Coinsurance after deductible","$100 Copay after deductible","$30 Copay after deductible","$100 Copay after deductible","$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible",$0,$0,$0,,,,,"$1500 Copay after deductible","$30 Copay after deductible","$1500 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible",$0,"$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible",,
31867,"AffinityAccess Bronze ST INN Dep25",Bronze,946.10,,,,,,7000,,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible",$0,$0,$0,,,,,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31901,"AffinityAccess 2.0 Platinum NS INN Pediatric Dental Dep25, Adult Dental Clng Exams Whtng, Vsn Exam",Platinum,1605.78,,0,,0,,,,4000,No,No,$15,$35,$0,$25,10%,$35,$500,10%,$100,$15,$100,$30,$60,,$10,$0,$0,$0,$15,$15,$15,$15,$500,$15,$500,$15,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$600,$15,$15,$0,$55,$100,$100,$35,$35,$35,,
